,From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,has_ac,sleeper_category,is_seater,is_multiaxle,has_video,is_pushback,seat_format,brand
58,Akot,Shegaon,Sheetal Travels Akola,56,0:2:45,Non A/c,06:15:00 PM,09:00:00 PM,False,Other,False,False,False,False,,
59,Akot,Shegaon,Sheetal Travels Akola,56,0:2:30,Non A/c,04:00:00 PM,06:30:00 PM,False,Other,False,False,False,False,,
60,Akot,Mehkar,Sheetal Travels Akola,154,0:3:30,Non A/c,07:00:00 PM,10:30:00 PM,False,Other,False,False,False,False,,
61,Akot,Aurangabad,Sheetal Travels Akola,273,0:7:0,Non A/c,04:00:00 PM,11:00:00 PM,False,Other,False,False,False,False,,
62,Akot,Jalna,Sheetal Travels Akola,217,0:6:0,Non A/c,04:00:00 PM,10:00:00 PM,False,Other,False,False,False,False,,
63,Akot,Jalna,Sheetal Travels Akola,217,0:6:30,Non A/c,05:00:00 PM,11:30:00 PM,False,Other,False,False,False,False,,
64,Akot,Khamgaon,Sheetal Travels Akola,74,0:3:0,Non A/c,04:00:00 PM,07:00:00 PM,False,Other,False,False,False,False,,
65,Akot,Khamgaon,Sheetal Travels Akola,74,0:3:15,Non A/c,06:15:00 PM,09:30:00 PM,False,Other,False,False,False,False,,
66,Akot,Khamgaon,Sheetal Travels Akola,74,0:3:0,Non A/c,05:00:00 PM,08:00:00 PM,False,Other,False,False,False,False,,
67,Akot,Akola,Sheetal Travels Akola,47,0:1:45,Non A/c,06:15:00 PM,08:00:00 PM,False,Other,False,False,False,False,,
68,Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,07:00:00 PM,08:30:00 PM,False,Other,False,False,False,False,,
69,Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,05:00:00 PM,06:30:00 PM,False,Other,False,False,False,False,,
70,Akot,Akola,Sheetal Travels Akola,47,0:1:30,Non A/c,04:00:00 PM,05:30:00 PM,False,Other,False,False,False,False,,
71,Akot,Patur,Sheetal Travels Akola,77,0:1:30,Non A/c,07:00:00 PM,08:30:00 PM,False,Other,False,False,False,False,,
72,Hosur,Sathyamangalam,Kings Travels,217,0:5:25,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,04:55:00 AM,False,Sleeper,True,False,False,False,2+1,
73,Hosur,Marayur,Srs Travels (SRS Travels),340,0:8:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,07:00:00 AM,False,Sleeper,False,False,True,False,2+1,
74,Hosur,Karaikal,Srs Travels (SRS Travels),320,0:8:0,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,07:30:00 AM,False,Other,False,False,True,False,2+2,
75,Hosur,Karaikal,KPN Travels,370,0:9:15,2+2 : NON A/C S.S 31,10:15:00 PM,07:30:00 AM,False,Other,False,False,False,False,2+2,
76,Hosur,Vaikom,Kallada Travels,310,0:7:45,SEMI SLEEPER,09:05:00 PM,04:50:00 AM,,Semi-Sleeper,False,False,False,False,,
77,Hosur,Adoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
78,Hosur,Adoor,Srs Travels (SRS Travels),480,0:12:0,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,06:45:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,
79,Hosur,Tirumangalam,Srs Travels (SRS Travels),340,0:8:30,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,07:30:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,
80,Hosur,Thakkalai,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:10:00 PM,09:19:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
81,Hosur,Periyakulam,Royal Travels,255,0:6:23,RoyalSemiSleeper,08:45:00 PM,03:08:00 AM,,Semi-Sleeper,False,False,False,False,,
82,Hosur,Periyakulam,Srs Travels (SRS Travels),330,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,
83,Hosur,Perumbavoor,Kallada Travels,3009,3:3:14,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,11:04:00 PM,,Semi-Sleeper,False,False,False,False,,
84,Hosur,Perumbavoor,Srs Travels (SRS Travels),390,0:9:45,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,04:30:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,
85,Hosur,Perumbavoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
86,Hosur,Perumbavoor,Kallada Travels,278,0:6:57,SEMI SLEEPER CUM SLEEPER,06:55:00 PM,01:52:00 AM,,Semi-Sleeper,False,False,False,False,,
87,Hosur,Perumbavoor,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
88,Hosur,Vathalagundu,Srs Travels (SRS Travels),310,0:7:45,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,04:30:00 AM,False,Sleeper,False,False,True,False,2+1,
89,Hosur,Moonupeedika,Kallada Travels,301,0:7:32,SEMI SLEEPER,09:40:00 PM,05:12:00 AM,,Semi-Sleeper,False,False,False,False,,
90,Hosur,Perundurai,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,02:23:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo
91,Hosur,Perundurai,Kallada Travels,199,0:4:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,07:44:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo
92,Hosur,Theni,KPN Travels,330,0:8:15,BERTH SLEEPER A/C : 29,10:45:00 PM,07:00:00 AM,True,Sleeper,False,False,False,False,,
93,Hosur,Theni,Kallada Travels,294,0:7:21,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,03:41:00 AM,,Semi-Sleeper,False,False,False,False,,
94,Hosur,Theni,Royal Travels,255,0:6:23,RoyalSemiSleeper,08:45:00 PM,03:08:00 AM,,Semi-Sleeper,False,False,False,False,,
95,Hosur,Theni,Srs Travels (SRS Travels),353,0:8:50,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:35:00 AM,False,Sleeper,False,False,True,False,2+1,
96,Hosur,Theni,Kallada Travels,394,0:9:51,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 PM,07:36:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
97,Hosur,Madathukulam,Srs Travels (SRS Travels),260,0:6:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,
98,Hosur,Mettupalayam,KPN Travels,240,0:6:0,2+2 : 33 S.S NON A/C,11:00:00 PM,05:00:00 AM,False,Other,False,False,False,False,2+2,
99,Hosur,Udumalpet,Srs Travels (SRS Travels),270,0:6:45,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,06:30:00 AM,False,Sleeper,False,False,True,False,2+1,
100,Hosur,Udumalpet,KPN Travels,320,0:8:0,BERTH SLEEPER A/C : 29,11:30:00 PM,07:30:00 AM,True,Sleeper,False,False,False,False,,
101,Hosur,Udumalpet,KPN Travels,440,0:11:0,2+2 : 33 S.S NON A/C,11:00:00 PM,10:00:00 AM,False,Other,False,False,False,False,2+2,
102,Hosur,Udumalpet,Srs Travels (SRS Travels),280,0:7:0,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,05:30:00 AM,False,Sleeper,False,False,True,False,2+1,
103,Hosur,Monipalli,Kallada Travels,315,0:7:53,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,03:43:00 AM,,Semi-Sleeper,False,False,False,False,,
104,Hosur,Monipalli,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
105,Hosur,Thiruvarur,KPN Travels,400,0:10:0,2+2 S.S NON A/C : 31,09:45:00 PM,07:45:00 AM,False,Other,False,False,False,False,2+2,
106,Hosur,Thiruvarur,KPN Travels,360,0:9:0,BERTH SLEEPER A/C : 29,09:15:00 PM,06:15:00 AM,True,Sleeper,False,False,False,False,,
107,Hosur,Alleppey,Kallada Travels,347,0:8:41,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:26:00 AM,,Semi-Sleeper,False,False,False,False,,
108,Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
109,Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
110,Hosur,Alleppey,Kallada Travels,324,0:8:6,SEMI SLEEPER,06:00:00 PM,02:06:00 AM,,Semi-Sleeper,False,False,False,False,,
111,Hosur,Alleppey,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,02:54:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
112,Hosur,Alleppey,Bharathi Travels,350,0:8:45,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",09:45:00 PM,06:30:00 AM,True,Semi-Sleeper,False,True,True,False,2+2,mercedes
113,Hosur,Alleppey,KPN Travels,390,0:9:45,2+2 VOLVO A/C(MULTI AXLE) : 44,07:15:00 PM,05:00:00 AM,True,Other,False,True,False,False,2+2,volvo
114,Hosur,Munnar,Srs Travels (SRS Travels),330,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,06:45:00 AM,False,Sleeper,False,False,True,False,2+1,
115,Hosur,Munnar,Kallada Travels,352,0:8:48,SEMI SLEEPER CUM SLEEPER,08:20:00 PM,05:08:00 AM,,Semi-Sleeper,False,False,False,False,,
116,Hosur,Munnar,Royal Travels,324,0:8:6,RoyalSemiSleeper,08:45:00 PM,04:51:00 AM,,Semi-Sleeper,False,False,False,False,,
117,Hosur,Viruthunagar,Kallada Travels,370,0:9:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:10:00 PM,06:25:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
118,Hosur,Allappuzha,Kallada Travels,347,0:8:41,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:26:00 AM,,Semi-Sleeper,False,False,False,False,,
119,Hosur,Allappuzha,Kallada Travels,324,0:8:6,SEMI SLEEPER,06:00:00 PM,02:06:00 AM,,Semi-Sleeper,False,False,False,False,,
120,Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
121,Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,02:54:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
122,Hosur,Allappuzha,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
123,Hosur,Koratty,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
124,Hosur,Chalakkudi,Bharathi Travels,290,0:7:15,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",09:45:00 PM,05:00:00 AM,True,Semi-Sleeper,False,True,True,False,2+2,mercedes
125,Hosur,Chalakkudi,Srs Travels (SRS Travels),370,0:9:15,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,04:00:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,
126,Hosur,Karunagapilly,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,03:29:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
127,Hosur,Karunagapilly,Kallada Travels,356,0:8:54,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:39:00 AM,,Semi-Sleeper,False,False,False,False,,
128,Hosur,Karunagapilly,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:59:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
129,Hosur,Karunagapilly,Kallada Travels,338,0:8:27,SEMI SLEEPER,06:00:00 PM,02:27:00 AM,,Semi-Sleeper,False,False,False,False,,
130,Hosur,Pathanamthitta,Kallada Travels,333,0:8:20,SEMI SLEEPER CUM SLEEPER,07:50:00 PM,04:10:00 AM,,Semi-Sleeper,False,False,False,False,,
131,Hosur,Pathanamthitta,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
132,Hosur,Kadayanallur,Srs Travels (SRS Travels),320,0:8:0,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,06:15:00 AM,False,Sleeper,False,False,True,False,2+1,
133,Hosur,Gobichettipalayam,Kings Travels,190,0:4:45,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,04:15:00 AM,False,Sleeper,True,False,False,False,2+1,
134,Hosur,Chengannur,Kallada Travels,486,0:12:9,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
135,Hosur,Chengannur,Srs Travels (SRS Travels),460,0:11:30,"2+2, Semi Sleeper, Non-AC, Video",06:45:00 PM,06:15:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,
136,Hosur,Kollam,Kallada Travels,338,0:8:27,SEMI SLEEPER,06:00:00 PM,02:27:00 AM,,Semi-Sleeper,False,False,False,False,,
137,Hosur,Kollam,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:15:00 PM,07:59:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
138,Hosur,Kollam,Kallada Travels,509,0:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,03:29:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
139,Hosur,Kollam,Kallada Travels,356,0:8:54,SLEEPER CUM SEMI SLEEPER,07:45:00 PM,04:39:00 AM,,Semi-Sleeper,False,False,False,False,,
140,Hosur,Kollam,KPN Travels,450,0:11:15,2+2 VOLVO A/C(MULTI AXLE) : 44,07:15:00 PM,06:30:00 AM,True,Other,False,True,False,False,2+2,volvo
141,Hosur,Tirupur,KPN Travels,230,0:5:45,2+1 NON A/C S.S : 28,11:45:00 PM,05:30:00 AM,False,Other,False,False,False,False,2+1,
142,Hosur,Tirupur,Srs Travels (SRS Travels),240,0:6:0,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,05:45:00 AM,False,Sleeper,False,False,True,False,2+1,
143,Hosur,Tirupur,KPN Travels,220,0:5:30,2+2 VOLVO A/C(MULTI AXLE) : 44,04:00:00 PM,09:30:00 PM,True,Other,False,True,False,False,2+2,volvo
144,Hosur,Tirupur,KPN Travels,260,0:6:30,BERTH SLEEPER A/C : 29,11:30:00 PM,06:00:00 AM,True,Sleeper,False,False,False,False,,
145,Hosur,Tirupur,Sachin Travels,240,0:6:0,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,06:00:00 AM,False,Semi-Sleeper,False,False,True,False,2+1,
146,Hosur,Tirupur,Kallada Travels,185,0:4:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:45:00 AM,02:23:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo
147,Hosur,Tirupur,Kallada Travels,218,0:5:27,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,08:12:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo
148,Hosur,Chavadi,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,07:30:00 PM,07:05:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
149,Hosur,Chavadi,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,09:35:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
150,Hosur,Chavadi,Kallada Travels,273,0:6:50,SEMI SLEEPER,09:40:00 PM,04:30:00 AM,,Semi-Sleeper,False,False,False,False,,
151,Hosur,Chavadi,Kallada Travels,370,0:9:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,02:45:00 PM,12:00:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
152,Hosur,Chavadi,Kallada Travels,417,0:10:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:15:00 PM,09:41:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo
