,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
33,Khamgaon,Jalna,akash BUS AMRAVATI,143,12:00:00 AM,06:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
34,Khamgaon,Jalna,Sheetal Travels Akola,143,09:30:00 PM,01:05:00 AM,False,Other,False,False,False,False,,,0 days 03:35:00
35,Khamgaon,Jalna,Sangeetam Travels,143,09:00:00 PM,12:35:00 AM,True,Other,False,False,False,False,,,0 days 03:35:00
36,Khamgaon,Jalna,Sheetal Travels Akola,143,07:00:00 PM,11:00:00 PM,False,Other,False,False,False,False,,,0 days 04:00:00
37,Khamgaon,Jalna,akash BUS AMRAVATI,143,09:45:00 PM,12:15:00 AM,False,Other,False,False,False,False,,,0 days 02:30:00
38,Khamgaon,Jalna,akash BUS AMRAVATI,143,11:00:00 PM,01:30:00 AM,True,Other,False,False,False,False,,,0 days 02:30:00
39,Khamgaon,Jalna,akash BUS AMRAVATI-Sangeetam 2x1,143,08:45:00 PM,12:45:00 AM,False,Other,False,False,False,False,,,0 days 04:00:00
40,Khamgaon,Jalna,Sheetal Travels Akola,143,08:00:00 PM,11:00:00 PM,False,Other,False,False,False,False,,,0 days 03:00:00
41,Khamgaon,Jalna,akash BUS AMRAVATI,143,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
42,Khamgaon,Indore,Hans Travels Indore-,284,01:30:00 AM,08:50:00 AM,True,Other,False,False,False,False,,,0 days 07:20:00
43,Khamgaon,Nagpur,shreenath travellers,297,06:05:00 AM,11:35:00 AM,False,Other,False,False,False,False,,,0 days 05:30:00
44,Khamgaon,Nagpur,Rachna Travels,297,09:50:00 PM,05:16:00 AM,False,Other,False,False,False,False,,,0 days 07:26:00
45,Khamgaon,Malegaon,akash BUS AMRAVATI,220,10:00:00 PM,03:30:00 AM,False,Other,False,False,False,False,,,0 days 05:30:00
46,Khamgaon,Jalgaon,Vidarbha Express,255,09:00:00 PM,03:23:00 AM,False,Other,False,False,False,False,,,0 days 06:23:00
